nhead	q_len	kv_len	bs	FA2	FA3	FlashMLA
16	1	16384	64	2513.6	1481.2	1169.6
16	1	16384	128	4263.4	2503.7	2288.4
16	1	16384	256	8513.6	4994.2	4523.1
16	1	32768	1	94.5	66.6	63.3
16	1	32768	2	154.1	99.0	98.4
16	1	32768	4	251.4	155.4	166.7
16	1	32768	8	550.0	328.9	310.1
16	1	32768	16	1578.0	932.4	590.5
16	1	32768	32	2507.7	1476.9	1156.3
16	1	32768	64	5002.0	2937.3	2287.2
16	1	32768	128	8508.8	4991.9	4524.3
16	1	32768	256	17005.5	9967.3	8994.4
16	1	65536	1	160.6	105.5	101.1
16	1	65536	2	255.4	158.6	167.3
16	1	65536	4	483.0	290.4	304.6
16	1	65536	8	1344.1	794.3	587.0
16	1	65536	16	3244.1	1899.1	1150.8
16	1	65536	32	4997.3	2933.9	2273.7
16	1	65536	64	10009.8	5871.4	4521.7
16	1	65536	128	16999.3	9967.5	8994.0
16	1	65536	256	33982.5	19916.6	17942.0
16	1	131072	1	263.6	165.8	169.9
16	1	131072	2	487.3	294.6	306.5
16	1	131072	4	914.5	543.3	587.4
16	1	131072	8	2940.6	1723.4	1145.5
16	1	131072	16	6450.5	3789.4	2265.3
16	1	131072	32	9993.6	5856.5	4497.0
16	1	131072	64	20002.7	11717.4	8969.2
16	1	131072	128	33936.9	19875.3	17894.5
16	1	131072	256	67863.0	39739.8	35736.5
8	1	128	1	19.0	14.1	23.3
8	1	128	2	19.1	14.3	23.2
8	1	128	4	19.3	14.4	23.5
8	1	128	8	20.2	17.0	23.7
8	1	128	16	26.7	20.7	27.1
8	1	128	32	27.3	21.1	28.0
8	1	128	64	29.1	22.3	29.2
8	1	128	128	50.2	34.5	44.7
8	1	128	256	92.0	59.3	76.3
8	1	1024	1	22.0	19.3	24.2
8	1	1024	2	29.5	22.7	24.8
8	1	1024	4	38.2	27.4	29.9
8	1	1024	8	46.6	33.2	36.0
8	1	1024	16	48.5	34.5	47.6
8	1	1024	32	81.8	53.5	68.4
8	1	1024	64	146.1	90.9	104.4
8	1	1024	128	282.8	171.2	187.0
8	1	1024	256	555.6	331.1	325.2
8	1	4096	1	41.5	30.6	28.8
8	1	4096	2	49.3	35.7	32.5
8	1	4096	4	50.8	37.0	42.1
8	1	4096	8	82.3	54.4	62.8
8	1	4096	16	147.7	92.5	101.1
8	1	4096	32	318.6	192.3	176.6
8	1	4096	64	621.7	370.2	325.3
8	1	4096	128	1077.5	635.9	605.8
8	1	4096	256	2146.8	1263.2	1165.9
8	1	8192	1	52.6	39.0	34.4
8	1	8192	2	54.2	40.3	43.0
8	1	8192	4	84.1	56.1	59.1
8	1	8192	8	148.5	93.5	96.3
8	1	8192	16	383.4	229.4	170.8
8	1	8192	32	616.1	366.6	314.3
8	1	8192	64	1250.6	738.3	608.0
8	1	8192	128	2139.7	1258.8	1167.7
8	1	8192	256	4281.6	2502.2	2277.5
8	1	16384	1	60.7	46.9	44.8
8	1	16384	2	87.4	59.5	59.9
8	1	16384	4	150.2	95.1	96.9
8	1	16384	8	284.5	172.0	166.1
8	1	16384	16	748.9	442.6	309.0
8	1	16384	32	1250.7	735.0	595.5
8	1	16384	64	2508.4	1476.6	1166.5
8	1	16384	128	4273.5	2497.8	2279.3
8	1	16384	256	8504.6	4984.1	4507.1
8	1	32768	1	93.8	66.0	62.1
8	1	32768	2	153.6	98.4	97.7
8	1	32768	4	250.9	154.7	166.1
8	1	32768	8	551.0	326.9	309.0
8	1	32768	16	1575.4	927.9	592.4
8	1	32768	32	2504.3	1474.8	1155.5
8	1	32768	64	4997.8	2932.8	2283.9
8	1	32768	128	8506.9	4989.5	4519.9
8	1	32768	256	17002.0	9966.0	8990.7
8	1	65536	1	160.1	104.9	100.5
8	1	65536	2	254.6	158.3	167.0
8	1	65536	4	483.3	290.5	304.6
8	1	65536	8	1346.6	792.3	586.5
8	1	65536	16	3238.9	1896.2	1150.0
8	1	65536	32	4993.0	2931.2	2272.5
8	1	65536	64	10003.2	5866.8	4519.0
8	1	65536	128	16995.6	9965.2	8990.7
8	1	65536	256	33980.7	19913.5	17938.1
8	1	131072	1	262.5	165.6	169.3
8	1	131072	2	487.0	294.3	306.0
8	1	131072	4	914.2	542.8	586.8
8	1	131072	8	2938.9	1723.8	1145.0
8	1	131072	16	6468.0	3778.5	2267.8
8	1	131072	32	9999.6	5863.3	4507.4
8	1	131072	64	20015.2	11730.1	8989.2
8	1	131072	128	33983.4	19912.7	17935.7
8	1	131072	256	67932.7	39800.4	35829.1
